dataset,status,recommended_weight,usage,required_cleaning,license_check_required,leakage_risk,notes,source_url
nmuendler/rustbench-single-file-patch-only,accept,0.20,core_repair_patch,normalize_patch_and_rebuild_workspace,yes,medium,Strong donor for minimal Rust bugfix patches with patch and test fields,https://huggingface.co/datasets/nmuendler/rustbench-single-file-patch-only
dmeldrum6/Rust_Master_QA_Dataset,aux_only,0.03,aux_rust_qa,convert_to_short_instruction_pairs,yes,low,Useful only for low-weight Rust QA warmup not core execution training,https://huggingface.co/datasets/dmeldrum6/Rust_Master_QA_Dataset
DCAgent/a1_stack_rust,conditional,0.00,process_only,manual_unpack_and_gold_extraction,yes,medium,Appears to be trajectory data with conversations and result fields not direct gold code supervision,https://huggingface.co/datasets/DCAgent/a1_stack_rust
DCAgent/exp_rpt_stack-rust_10k,conditional,0.00,process_only,unpack_binary_tasks_and_validate,yes,medium,Potentially useful only after unpacking and building validated final-answer pairs,https://huggingface.co/datasets/DCAgent/exp_rpt_stack-rust_10k
DCAgent/exp_rpt_stack-rust,conditional,0.00,process_only,unpack_binary_tasks_and_validate,yes,medium,Same family as exp_rpt_stack-rust_10k with unclear direct supervision signal,https://huggingface.co/datasets/DCAgent/exp_rpt_stack-rust
DCAgent/exp_rpt_stack-rust-v3-test,reject,0.00,none,do_not_ingest,yes,high,Explicit test split style naming and opaque task binary format,https://huggingface.co/datasets/DCAgent/exp_rpt_stack-rust-v3-test
DCAgent2/swebench_verified_random_100_folders_a1_stack_rust_20260323_225716,reject,0.00,none,do_not_ingest,yes,high,Appears to contain swebench-style non-Rust evaluation traces and verified benchmark content,https://huggingface.co/datasets/DCAgent2/swebench_verified_random_100_folders_a1_stack_rust_20260323_225716
DCAgent2/dev_set_v2_a1_stack_rust_20260324_201811,reject,0.00,none,do_not_ingest,yes,high,Explicit dev set should be treated as evaluation data not training data,https://huggingface.co/datasets/DCAgent2/dev_set_v2_a1_stack_rust_20260324_201811
DCAgent2/swebench_verified_random_100_folders_exp_rpt_stack_rust_10k_glm_4_7_traces_jupic84bfdfe,reject,0.00,none,do_not_ingest,yes,high,Verified swebench trace donor with evaluation leakage risk,https://huggingface.co/datasets/DCAgent2/swebench_verified_random_100_folders_exp_rpt_stack_rust_10k_glm_4_7_traces_jupic84bfdfe
DCAgent2/terminal_bench_2_exp_rpt_stack_rust_10k_glm_4_7_traces_jupiter_20260321_130432,reject,0.00,none,do_not_ingest,yes,high,Terminal bench traces are not suitable as core code supervision,https://huggingface.co/datasets/DCAgent2/terminal_bench_2_exp_rpt_stack_rust_10k_glm_4_7_traces_jupiter_20260321_130432
DCAgent2/dev_set_v2_exp_rpt_stack_rust_10k_glm_4_7_traces_jupiter_20260317_213105,reject,0.00,none,do_not_ingest,yes,high,Explicit dev set with trajectory structure,https://huggingface.co/datasets/DCAgent2/dev_set_v2_exp_rpt_stack_rust_10k_glm_4_7_traces_jupiter_20260317_213105
Fortytwo-Network/Strandset-Rust-v1,conditional,0.15,selected_code_heavy_only,downweight_text_like_categories_and_revalidate,yes,medium,Use only selected code-heavy categories not the whole distribution,https://huggingface.co/datasets/Fortytwo-Network/Strandset-Rust-v1

